brand,asin,product_name,product_url,offers_url,seller_name,offer_condition,last_seen_utc,last_scrape_status,2026-03-18 21:00,2026-03-18 22:00
Apple,B0DGHY5KG8,Apple iPhone 16 128 Go,https://www.amazon.fr/dp/B0DGHY5KG8,https://www.amazon.fr/gp/offer-listing/B0DGHY5KG8,__NO_SELLER_FOUND__,,2026-03-18 21:59:13,no_new_offers_found,,
Samsung,B0F2H1Y4D5,Samsung Galaxy A36,https://www.amazon.fr/dp/B0F2H1Y4D5,https://www.amazon.fr/gp/offer-listing/B0F2H1Y4D5,__NO_SELLER_FOUND__,,2026-03-18 21:59:33,no_new_offers_found,,
Xiaomi,B0DRBWS1KW,Xiaomi Redmi Note Pro,https://www.amazon.fr/dp/B0DRBWS1KW,https://www.amazon.fr/gp/offer-listing/B0DRBWS1KW,__NO_SELLER_FOUND__,,2026-03-18 21:59:59,no_new_offers_found,,
Huawei,B07R1Y57YF,Huawei P30 Lite,https://www.amazon.fr/dp/B07R1Y57YF,https://www.amazon.fr/gp/offer-listing/B07R1Y57YF,__NO_SELLER_FOUND__,,2026-03-18 22:00:20,no_new_offers_found,,
